Sort,Isolate Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Genome coverage,Genome composition,Host Source
3897,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus gorillae,E,Gorilla gorilla gorilla polyomavirus 1,GgorgPyV1,5766,HQ385752,Complete genome,dsDNA,vertebrates
3898,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus macacae,E,Macaca fascicularis polyomavirus 1,MfasPyV1,2085,JX159986,Complete genome,dsDNA,vertebrates
3899,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus mauratus,E,hamster polyomavirus,HaPyV,Berlin-Buch,JX036360,Complete genome,dsDNA,vertebrates
3900,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus mischreibersii,E,Miniopterus schreibersii polyomavirus 1,MschPyV1,12SuB07,LC185213,Complete genome,dsDNA,vertebrates
3901,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus molossi,E,bat polyomavirus 3b,BatPyV3b,B1130,JQ958893,Complete genome,dsDNA,vertebrates
3902,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus muris,E,mouse polyomavirus,MPyV,BG,AF442959,Complete genome,dsDNA,vertebrates
3903,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus nonihominis,E,human polyomavirus 9,HPyV9,2540,HQ696595,Complete genome,dsDNA,vertebrates
3904,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus octihominis,E,Trichodysplasia spinulosa-associated polyomavirus,TSPyV,Skin,GU989205,Complete genome,dsDNA,vertebrates
3905,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus omartiensseni,E,Otomops polyomavirus 1,OtomopsPyV1,KY157,JX520664,Complete genome,dsDNA,vertebrates
3906,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus pacynocephalus,E,yellow baboon polyomavirus 1,YbPyV1,BS20,AB767294,Complete genome,dsDNA,vertebrates
3907,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus panos,E,chimpanzee polyomavirus,ChPyV,Bob,FR692334,Complete genome,dsDNA,vertebrates
3908,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus philantombae,E,Philantomba monticola polyomavirus 1,PmonPyV1,9781 GN365,MG654482,Complete genome,dsDNA,vertebrates
3909,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus pibadius,E,Piliocolobus badius polyomavirus 2,PbadPyV2,5947,KX509984,Complete genome,dsDNA,vertebrates
3910,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus pirufomitratus,E,Piliocolobus rufomitratus polyomavirus 1,PrufPyV1,4601,JX159984,Complete genome,dsDNA,vertebrates
3911,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus ponabelii,E,Sumatran orang-utan polyomavirus,OraPyV-Sum,Sum/Pi,FN356901,Complete genome,dsDNA,vertebrates
3912,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus ponpygmaeus,E,Bornean orang-utan polyomavirus,OraPyV-Bor,Bo,FN356900,Complete genome,dsDNA,vertebrates
3913,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus procyonis,E,raccoon polyomavirus,RacPyV,R45,JQ178241,Complete genome,dsDNA,vertebrates
3914,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus ptevampyrus,E,bat polyomavirus 5b1,BatPyV5b-1,5b-1,AB972944,Complete genome,dsDNA,vertebrates
3915,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus quardecihominis,E,LI polyomavirus,LIPyV,2016,KY404016,Complete genome,dsDNA,vertebrates
3916,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus quartipanos,E,Pan troglodytes verus polyomavirus 3,PtrovPyV3,3161,JX159980,Complete genome,dsDNA,vertebrates
3917,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus quintihominis,E,Merkel cell polyomavirus,MCPyV,R17b,HM011556,Complete genome,dsDNA,vertebrates
3918,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus quintipanos,E,Pan troglodytes verus polyomavirus 4,PtrovPyV4,3147,JX159981,Complete genome,dsDNA,vertebrates
3919,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus ranorvegicus,E,Rattus norvegicus polyomavirus 1,RnorPyV1,3690,KR075943,Complete genome,dsDNA,vertebrates
3920,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus saraneus,E,Sorex araneus polyomavirus 1,SaraPyV1,GER_#4608_MU/06/0215/MV-hu1403,MF374997,Complete genome,dsDNA,vertebrates
3921,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus secarplanirostris,E,bat polyomavirus 3a-A1055,BatPyV3a-A1055,A1055,JQ958886,Complete genome,dsDNA,vertebrates
3922,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus secomartiensseni,E,Otomops polyomavirus 2,OtomopsPyV2,KY156,JX520658,Complete genome,dsDNA,vertebrates
3923,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus secumastomysis,E,Mastomys natalensis polyomavirus 2,MnatPyV2,8173 R91,MG701350,Complete genome,dsDNA,vertebrates
3924,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus secumischreibersii,E,Miniopterus schreibersii polyomavirus 2,MschPyV2,12SuB08,LC185216,Complete genome,dsDNA,vertebrates
3925,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus secupanos,E,Pan troglodytes verus polyomavirus 1a,PtrovPyV1a,6444,HQ385746,Complete genome,dsDNA,vertebrates
3926,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus septipanos,E,Pan troglodytes schweinfurthii polyomavirus 2,PtrosPyV2,6350,JX159983,Complete genome,dsDNA,vertebrates
3927,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus sextipanos,E,Pan troglodytes verus polyomavirus 5,PtrovPyV5,5743,JX159982,Complete genome,dsDNA,vertebrates
3928,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus socoronatus,E,Sorex coronatus polyomavirus 1,SminPyV1,GER_#7586_MU08/1013,MF374999,Complete genome,dsDNA,vertebrates
3929,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus sominutus,E,Sorex minutus polyomavirus 1,ScorPyV1,GER_#7607_MU10/2265,MF401583,Complete genome,dsDNA,vertebrates
3930,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus sturnirae,E,bat polyomavirus 3a-B0454,BatPyV3a-B0454,B0454,JQ958888,Complete genome,dsDNA,vertebrates
3931,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus suis,E,Sus scrofa polyomavirus 1,SscrPyV1,471,KR065722,Complete genome,dsDNA,vertebrates
3932,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus terdecihominis,E,New Jersey polyomavirus,NJPyV,2013,KF954417,Complete genome,dsDNA,vertebrates
3933,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus tertarplanisrostris,E,bat polyomavirus 4a,BatPyV4a,A504,JQ958890,Complete genome,dsDNA,vertebrates
3934,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus tertichlopygerythrus,E,vervet monkey polyomavirus 3,VmPyV3,VMS95/VMS97,AB767297,Complete genome,dsDNA,vertebrates
3935,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus tertimastomysis,E,Mastomys natalensis polyomavirus 3,MnatPyV3,9947,MN417229,Complete genome,dsDNA,vertebrates
3936,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus tertipanos,E,Pan troglodytes verus polyomavirus 2a,PtrovPyV2a,6512,HQ385748,Complete genome,dsDNA,vertebrates
3937,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus tubelangeri,E,Tupaia belangeri polyomavirus,NA,NA,MK443498,Complete genome,dsDNA,vertebrates
3938,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Alphapolyomavirus,NA,Alphapolyomavirus tuglis,E,Tupaia glis polyomavirus 1,TgliPyV1,4373 Thai 87,MG721015,Complete genome,dsDNA,vertebrates
3939,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus arplanirostris,E,bat polyomavirus 2c,BatPyV2c,2c,JQ958887,Complete genome,dsDNA,vertebrates
3940,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus calbifrons,E,Cebus albifrons polyomavirus 1,CalbPyV1,2141,JX159988,Complete genome,dsDNA,vertebrates
3941,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus callosciuri,E,Callosciurus prevostii polyomavirus 1,CprePyV1,10295_BH122/15,MK883808,Complete genome,dsDNA,vertebrates
3942,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus canis,E,Canis familiaris polyomavirus 1,CfamPyV1,R006926 CT2015,KY341899,Complete genome,dsDNA,vertebrates
3943,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus cercopitheci,E,Cercopithecus erythrotis polyomavirus 1,CeryPyV1,4077,JX159985,Complete genome,dsDNA,vertebrates
3944,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus desrotundus,E,bat polyomavirus 2a,BatPyV2a,AT7,JQ958892,Complete genome,dsDNA,vertebrates
3945,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus elephanti,E,African elephant polyomavirus 1,AelPyV1,DK-1/2011,KF147833,Complete genome,dsDNA,vertebrates
3946,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus enhydrae,E,sea otter polyomavirus,NA,6831-13,KM282376,Complete genome,dsDNA,vertebrates
3947,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus equi,E,equine polyomavirus,EPyV,CU03,JQ412134,Complete genome,dsDNA,vertebrates
3948,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus gliris,E,Glis glis polyomavirus 1,GgliPyV1,3327 ID3a,MG701352,Complete genome,dsDNA,vertebrates
3949,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus hominis,E,BK polyomavirus,BK virus; BKV; BKPyV,Dunlop,V01108,Complete genome,dsDNA,vertebrates
3950,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus leporis,E,Lepus polyomavirus 1,LPyV1,Lag01_EL_poly,MN994868,Complete genome,dsDNA,vertebrates
3951,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus lepweddellii,E,Weddell seal polyomavirus,WsPyV,17461,KX533457,Complete genome,dsDNA,vertebrates
3952,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus macacae,E,simian virus 40,SV40,776,J02400,Complete genome,dsDNA,vertebrates
3953,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus mafricanus,E,Miniopterus polyomavirus,MiniopterusPyV,KY369,JX520661,Complete genome,dsDNA,vertebrates
3954,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus marvalis,E,Microtus arvalis polyomavirus 1,CVPyV,KS13/0947,KR612373,Complete genome,dsDNA,vertebrates
3955,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus mastomysis,E,Mastomys polyomavirus,MasPyV,NR55,AB588640,Complete genome,dsDNA,vertebrates
3956,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus meletis,E,Meles meles polyomavirus 1,MmelPyV1,French,KP644238,Complete genome,dsDNA,vertebrates
3957,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus myoglareolus,E,Myodes glareolus polyomavirus 1,BVPyV,KS/14/201,KR612368,Complete genome,dsDNA,vertebrates
3958,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus myolucifugus,E,Myotis polyomavirus,MyPyV,VM2008_14,FJ188392,Complete genome,dsDNA,vertebrates
3959,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus octipanos,E,Pan troglodytes verus polyomavirus 8,PtrovPyV8,Ch-Regina,KT884050,Complete genome,dsDNA,vertebrates
3960,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus pantherae,E,Panthera leo polyomavirus 1,PleoPyV1,3884,MG701353,Complete genome,dsDNA,vertebrates
3961,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus ptedavyi,E,Pteronotus polyomavirus,PteronotusPyV,GTM203,JX520662,Complete genome,dsDNA,vertebrates
3962,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus pteparnellii,E,bat polyomavirus 2b,BatPyV2b,R226,JQ958891,Complete genome,dsDNA,vertebrates
3963,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus quartihominis,E,WU polyomavirus,WU virus; WUPyV,B0,EF444549,Complete genome,dsDNA,vertebrates
3964,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus raegyptiacus,E,Rousettus aegyptiacus polyomavirus 1,RaegPyV1,12SuB01,LC185218,Complete genome,dsDNA,vertebrates
3965,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus saboliviensis,E,squirrel monkey polyomavirus,SquiPyV,Squi0106,AM748741,Complete genome,dsDNA,vertebrates
3966,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus sasciureus,E,Saimiri sciureus polyomavirus 1,SsciPyV1,2033,JX159989,Complete genome,dsDNA,vertebrates
3967,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus sciuri,E,Sciurus carolinensis polyomavirus 1,ScarPyV1,9804_KS15/0573,MK671101,Complete genome,dsDNA,vertebrates
3968,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus secacelebensis,E,bat polyomavirus 6a,BatPyV6a,6a,AB972941,Complete genome,dsDNA,vertebrates
3969,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus secuchlopygerythrus,E,vervet monkey polyomavirus 2,VmPyV2,VMK96,AB767299,Complete genome,dsDNA,vertebrates
3970,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus secudobsoniae,E,bat polyomavirus 6b,BatPyV6b,6b,AB972947,Complete genome,dsDNA,vertebrates
3971,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus secuhominis,E,JC polyomavirus,JC virus; JCV; JCPyV,Mad1,J02226,Complete genome,dsDNA,vertebrates
3972,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus secumuris,E,mouse pneumotropic virus,MPtV,#6018,KT987216,Complete genome,dsDNA,vertebrates
3973,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus secupacynocephalus,E,yellow baboon polyomavirus 2,YbPyV2,BS94/BK94,AB767295,Complete genome,dsDNA,vertebrates
3974,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus securanorvegicus,E,rat polyomavirus 2,RatPyV2,PITT4,KX574453,Complete genome,dsDNA,vertebrates
3975,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus tertidobsoniae,E,bat polyomavirus 6c,BatPyV6c,6c,AB972946,Complete genome,dsDNA,vertebrates
3976,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus tertihominis,E,KI polyomavirus,KIPyV,Stockholm 60,EF127906,Complete genome,dsDNA,vertebrates
3977,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus tertimuris,E,Mus musculus polyomavirus 3,MPoV3,NYC/2015/K003/3347,MF175082,Complete genome,dsDNA,vertebrates
3978,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus vicugnae,E,alpaca polyomavirus,AlPyV,UCD1,KU879245,Complete genome,dsDNA,vertebrates
3979,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Betapolyomavirus,NA,Betapolyomavirus zacalifornianus,E,California sea lion polyomavirus 1,SLPyV,CSL6994,GQ331138,Complete genome,dsDNA,vertebrates
3980,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Deltapolyomavirus,NA,Deltapolyomavirus ailuropodae,E,giant panda polyomavirus,AmelPyV1,GPPyV1,KY612371,Complete genome,dsDNA,vertebrates
3981,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Deltapolyomavirus,NA,Deltapolyomavirus canis,E,Canis lupus polyomavirus 1,ClupPyV1,8472,MG701355,Complete genome,dsDNA,vertebrates
3982,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Deltapolyomavirus,NA,Deltapolyomavirus decihominis,E,MW polyomavirus,MWPyV,MA095,JQ898291,Complete genome,dsDNA,vertebrates
3983,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Deltapolyomavirus,NA,Deltapolyomavirus secuprocyonis,E,raccoon-associated polyomavirus 2,PlotPyV1,Rac2,KY549442,Complete genome,dsDNA,vertebrates
3984,1,Monodnaviria,NA,Shotokuvirae,NA,Cossaviricota,NA,Papovaviricetes,NA,Sepolyvirales,NA,Polyomaviridae,NA,Deltapolyomavirus,NA,Deltapolyomavirus septihominis,E,human polyomavirus 7,HPyV7,713a,HM011566,Complete genome,dsDNA,vertebrates
